name,latitude,longitude,micrositeSlug
"Olivette",-35.1080908,147.3703987,wagga-wagga
"Borambola Wines Pty Ltd",-35.1704906,147.6442147,wagga-wagga
"Little Triffids Flowers",-35.1079924,147.3702255,wagga-wagga
"Riverina Home Centre",-35.1019376,147.3680598,wagga-wagga
"Ted and Olive Boutique",-35.110185,147.3700798,wagga-wagga
"The Bidgee & Vine",-35.11096240000001,147.3705378,wagga-wagga
"The Charles",-35.1151369,147.3753234,wagga-wagga
"Wagga Phone Dr",-35.1135082,147.3694065,wagga-wagga
"Allison Music",-35.1136838,147.3686313,wagga-wagga
"Bedrock Landscaping Supplies",-35.1263646,147.382394,wagga-wagga
"Centacare",-35.1076367,147.3724974,wagga-wagga
"Complete Skin Wagga",-35.11986410000001,147.3559401,wagga-wagga
"Crestia by Andersens",-35.1236302,147.3997674,wagga-wagga
"Flexit 24/7 Gym",-35.1231819,147.3994608,wagga-wagga
"Food I Am",-35.1842002,147.3142276,wagga-wagga
"Furniture 35 - Home of Billy Tea Furniture",-35.11821219999999,147.3685013,wagga-wagga
"Madeleine Lane",-35.1168162,147.3696714,wagga-wagga
"Kristopher Graydon Jewellers",-35.1114255,147.3698922,wagga-wagga
"Meccanico Espresso + Wine",-35.102455,147.3685013,wagga-wagga
"MR lawrence",-35.1019376,147.3680598,wagga-wagga
"Muffin Break Wagga",-35.1133951,147.3707532,wagga-wagga
"Pattison & Co Physiotherapy",-35.180929,147.3357438,wagga-wagga
"Romano's Hotel",-35.1056243,147.3700909,wagga-wagga
"The Red Pomegranate",-35.1145874,147.3699753,wagga-wagga
"The Riverine Club",-35.1055364,147.3711445,wagga-wagga
"Vortex Entertainment",-35.1029024,147.366997,wagga-wagga
"Wagga Par 3 & Driving Range",-35.0956109,147.3613485,wagga-wagga
"Wagga Wagga Civic Theatre",-35.1087047,147.372171,wagga-wagga
"Wollundry Grove Olives",-35.0188687,147.4204703,wagga-wagga
"Uneke Lounge",-35.104019,147.3685896,wagga-wagga
"Hide Steak and Bar",-35.1205245,147.3780338,wagga-wagga
"North Shore Cafe",-35.0975298,147.3773547,wagga-wagga
"Confetti Emporium",-35.111425,147.3699059,wagga-wagga
"Helena’s Beauty Therapy",-35.1129975,147.369561,wagga-wagga
"The Healthfood Store",-35.1133951,147.3707532,wagga-wagga
"Wagga Supps",-35.11847830000001,147.3693844,wagga-wagga
"Cafe Gumly & Bottlemart",-35.1269072,147.4318655,wagga-wagga
"Nabihas Kitchen lebanese food",-35.1145913,147.3700065,wagga-wagga
"Wagga Swim School",-35.1048065,147.3668763,wagga-wagga
"Riverina Hotel Wagga Wagga",-35.1021579,147.3676656,wagga-wagga
"The Brew Wagga",-35.1225249,147.3612284,wagga-wagga
"Knights Deli",-35.1021068,147.3683026,wagga-wagga
"Estella FoodWorks",-35.0746559,147.3493539,wagga-wagga
"E-Talent International Musikademy",-35.1081689,147.3598323,wagga-wagga
"Wagga Fruit Supply",-35.1141592,147.3737468,wagga-wagga
"Makers Coffee House",-35.113543,147.3689143,wagga-wagga
"Blooms The Chemist and Blooms Beauty Room Wagga Marketplace",-35.1151053,147.3701792,wagga-wagga
"The Wagga Shop - Wagga Wagga Visitor Information Centre",-35.1094526,147.3733584,wagga-wagga
"South City Quality Meats",-35.1374928,147.3321685,wagga-wagga
"Astor Inn",-35.1191404,147.3690312,wagga-wagga
"GIO Wagga Wagga Agency",-35.1137654,147.3694948,wagga-wagga
"Ninja and Jhi",-35.1143013,147.3692961,wagga-wagga
"That Butcher Shop",-35.2214842,146.7187779,wagga-wagga
"Wagga Meat Supply",-35.1141592,147.3737468,wagga-wagga
"yody",-35.1173913,147.3695512,wagga-wagga
"Your Weigh Mobile Vehicle Weighing",-35.14386,147.9930534,wagga-wagga
"Birdy Brew",-35.1101798,147.370089,wagga-wagga
"Union Club Hotel and Bottle Shop",-35.1142397,147.3694691,wagga-wagga
