name,latitude,longitude,micrositeSlug
"Abbee Udon",-38.3764081,142.4809226,warrnambool
"All Seasons Nursery",-38.380612,142.481515,warrnambool
"Allansford Hotel",-38.38692959999999,142.6068976,warrnambool
"Allee Espresso",-38.3843991,142.4813741,warrnambool
"Annie’s Gift House",-38.383615,142.483185,warrnambool
"Arun Dell Home and Style",-38.3812756,142.4796206,warrnambool
"ASAP Local Plumbing",-38.3735317,142.45923,warrnambool
"Asian Creations",-38.3790965,142.4902722,warrnambool
"Bade Ness Rural",-38.3633192,142.4594254,warrnambool
"Bamboo Juice",-38.3830482,142.4838252,warrnambool
"Bats Media",-38.3647671,142.467852,warrnambool
"BBQ's Galore Warrnambool",-38.3857921,142.5290341,warrnambool
"Beaches Cafe & Bar",-38.3893771,142.4848434,warrnambool
"Beautiful Creatures Makeup & Beauty",-38.3813121,142.4856025,warrnambool
"Best Western Olde Maritime & Clovelly Restaurant",-38.38815530000001,142.4837279,warrnambool
"Bojangles Pizza Restaurant",-38.385092,142.482444,warrnambool
"Boost Juice Warrnambool",-38.3808333,142.5205556,warrnambool
"Browns Depot Bakery",-38.38403,142.4852774,warrnambool
"Bundy’s Bar and Bites",-38.3849678,142.4825012,warrnambool
"Butuan on Liebig Filipino Grocers",-38.3829756,142.4845728,warrnambool
"Cafe Cycles Company",-38.38444399999999,142.4828095,warrnambool
"Cafe Lava",-38.3797161,142.4798448,warrnambool
"Cally Hotel",-38.3810516,142.4798162,warrnambool
"Capital Cinema",-38.3830852,142.4813226,warrnambool
"Caroline Healey Art",-38.395014,142.5061087,warrnambool
"Cattelya Thai",-38.3856225,142.4831922,warrnambool
"Clancey's Menswear",-38.383314,142.483567,warrnambool
"Classic Drycleaners",-38.3834452,142.4908721,warrnambool
"Coastal Pure Water",-38.3832864,142.4907219,warrnambool
"Coffeetreat",-38.3851855,142.482906,warrnambool
"Collins Booksellers Warrnambool",-38.3820294,142.4844062,warrnambool
"CUP OF JOan",-38.3768701,142.5357014,warrnambool
"CW Tabletop-Games",-38.3824246,142.4887806,warrnambool
"Daily Grain Cafe",-38.383221,142.4818197,warrnambool
"Darriwill Farm Warrnambool",-38.3840675,142.4830233,warrnambool
"Dennington Fish and Chips",-38.3577802,142.4454555,warrnambool
"Dennington Pharmacy Pty Ltd",-38.3579273,142.4445503,warrnambool
"Direct Chemist Outlet North Point",-38.3685108,142.494105,warrnambool
"Domino's Warrnambool",-38.3687082,142.4947398,warrnambool
"Dynamic Lighting & Design",-38.3825314,142.4870403,warrnambool
"Elysian Hair & Beauty Bar",-38.3581654,142.445143,warrnambool
"Family Fish and Chip",-38.3812601,142.4857301,warrnambool
"Fishtales Cafe",-38.3686779,142.4982086,warrnambool
"Flagstaff Hill Maritime Village",-38.3895412,142.4851155,warrnambool
"Flair Lifestyle Clothing",-38.381414,142.4795329,warrnambool
"Fletcher Jones Market",-38.387367,142.4988153,warrnambool
"Flower Trail Warrnambool",-38.3839705,142.4785154,warrnambool
"Flying Horse Bar & Brewery",-38.385484,142.533338,warrnambool
"Friends of Store",-38.3843722,142.4833528,warrnambool
"Gallo Bakery",-38.367432,142.493972,warrnambool
"George Taylor's Stores - Warrnambool",-38.3813043,142.4831784,warrnambool
"Go Vita Warrnambool",-38.3795062,142.4801323,warrnambool
"Golden Cup Express",-38.3808333,142.5205556,warrnambool
"Grape and Barley",-38.3855491,142.4828994,warrnambool
"Great Ocean Road Tenpin Bowling",-38.3862329,142.4829022,warrnambool
"Hairhouse Warehouse",-38.3832065,142.4844047,warrnambool
"Hampden Veterinary Clinic",-38.3804398,142.4812894,warrnambool
"Hecho En Mexico Warrnambool",-38.3843814,142.4828345,warrnambool
"Helloworld Travel Warrnambool",-38.3777907,142.4784942,warrnambool
"Home Coffee Cafe",-38.3839835,142.4832433,warrnambool
"Hotel Warrnambool",-38.3829505,142.481585,warrnambool
"Hue Artisans of Hair",-38.384089,142.4779951,warrnambool
"Ichiban Izakaya Japanese Restaurant",-38.3808333,142.5205556,warrnambool
"Ichiban Japanese Cuisine",-38.3808333,142.5205556,warrnambool
"Ilma Cakes & Co.",-38.380955,142.4792479,warrnambool
"Jane Dough",-38.3787405,142.4819865,warrnambool
"Jean Jail - The Men's Store",-38.3857921,142.5290341,warrnambool
"Jude",-38.3833613,142.4811517,warrnambool
