name,latitude,longitude,micrositeSlug
"Bi-Rite Yarrawonga",-36.0117739,146.0041804,yarrawonga-mulwala
"Bigger Furniture Floorworld",-36.01054,146.004726,yarrawonga-mulwala
"Bike Locker",-36.0119487,146.0048069,yarrawonga-mulwala
"Black Bull Golf Proshop",-36.0096291,146.040328,yarrawonga-mulwala
"Blooms of Yarrawonga",-36.0118401,146.0041807,yarrawonga-mulwala
"Blooms The Chemist Yarrawonga Lake End",-36.0108971,146.0049254,yarrawonga-mulwala
"Buller Wines",-36.0688844,146.4087914,yarrawonga-mulwala
"Bundalong General Store",-36.0325017,146.1617302,yarrawonga-mulwala
"Bundalong Tavern",-36.0314356,146.1594164,yarrawonga-mulwala
"Byramine Homestead & Brewery",-35.9943069,145.8588905,yarrawonga-mulwala
"Campbells Wines",-36.059997,146.4313085,yarrawonga-mulwala
"Canning A.R.T.S.",-36.0107985,146.004207,yarrawonga-mulwala
"Club Mulwala",-36.0032437,146.0011378,yarrawonga-mulwala
"Droop Golf Professionas",-36.0054412,145.9949607,yarrawonga-mulwala
"Fresh Decor",-36.0120783,146.0041815,yarrawonga-mulwala
"Golden Inn Chinese Restaurant",-35.9952608,146.0021091,yarrawonga-mulwala
"Hicks Butchery Mulwala",-35.9908882,146.0036066,yarrawonga-mulwala
"Intents Fishing & Outdoors",-35.9901313,146.0043487,yarrawonga-mulwala
"Intersport Wingates",-36.0122051,146.0050125,yarrawonga-mulwala
"Miss Dolly",-36.01057249999999,146.004207,yarrawonga-mulwala
"Monchino Wines",-36.0114786,145.4679737,yarrawonga-mulwala
"Mulwala Water Ski Club Ltd",-35.9952608,146.0021091,yarrawonga-mulwala
"One Zach Yarrawonga",-36.0113639,146.0041198,yarrawonga-mulwala
"Pfeiffer Wines",-36.036598,146.395968,yarrawonga-mulwala
"Stanton & Killeen Wines",-36.0566676,146.4274597,yarrawonga-mulwala
"Stuart Simmons Motorcycles, Mowers & Marine",-36.0335089,145.9949124,yarrawonga-mulwala
"The Sebel Yarrawonga",-36.0022196,146.0378115,yarrawonga-mulwala
"Tungamah Hotel",-36.1643976,145.8773711,yarrawonga-mulwala
"Warrabilla Wines",-36.0335089,145.9949124,yarrawonga-mulwala
"Yarrawonga Hotel",-36.0102068,146.0041526,yarrawonga-mulwala
"Yarrawonga Mulwala Golf Club Resort",-36.0054412,145.9949607,yarrawonga-mulwala
"Yarrawonga Mulwala Visitor Information Centre",-36.0079433,146.004403,yarrawonga-mulwala
"Yarrawonga News and Gifts",-36.0121671,146.0041819,yarrawonga-mulwala
