name,latitude,longitude,micrositeSlug
"Yass Outdoor Power Centre",-34.8448006,148.9139803,yass-valley
"Geoff Day Optometrist",-34.844313,148.9126962,yass-valley
"Yass Valley Library",-34.8416671,148.9108213,yass-valley
"Murrumbateman Winery",-34.9957016,149.0223756,yass-valley
"Yass Outdoor Sports & Camping",-34.8429757,148.9124327,yass-valley
"Bello Beauty Medispa",-34.8413922,148.9103144,yass-valley
"Riteways Curtain and Blinds",-34.8435671,148.9121669,yass-valley
"JBs Auto Electrical & Mechanical Services",-34.823329,148.9086746,yass-valley
"Yass Jewellers",-34.8419509,148.9107789,yass-valley
"Yass Auto Spares & Servicing/Autopro Yass",-34.8450461,148.9141594,yass-valley
"Yass Appliances",-34.8441988,148.912585,yass-valley
"Wee Jasper Distillery",-35.1109087,148.6783875,yass-valley
"Peter Minson Art Glass",-34.6690276,148.6317982,yass-valley
"Win’s Creek Meadery/ Binadree Bees Supplies",-34.970251,149.0296886,yass-valley
"Careys Cave",-35.072038,148.6607698,yass-valley
"Country Charm",-34.8426508,148.9113722,yass-valley
"Ross’s Relics",-34.8412976,148.9099282,yass-valley
"Hair Spiral",-34.8409177,148.909952,yass-valley
"K Hub Yass",-34.8424508,148.9120774,yass-valley
"Scissors With Style",-34.84425239999999,148.9125923,yass-valley
"The Yass Book Store",-34.8428584,148.9116721,yass-valley
"Capital Chemist Yass",-34.8421331,148.9116653,yass-valley
"Cafe 3: Sixteen",-34.9692052,149.0291608,yass-valley
"Jeir Creek Wines",-35.0269808,149.0549167,yass-valley
"MA Steel",-34.8253263,148.9091223,yass-valley
"Galutzi",-34.8417809,148.9113274,yass-valley
"Elders Yass",-34.8426198,148.912055,yass-valley
"Yass Golf Club",-34.8494065,148.9061153,yass-valley
"Yass Valley Council",-34.8449478,148.9133982,yass-valley
"Gundog Estate Pty Ltd",-35.0265187,149.2654989,yass-valley
"Poachers Pantry",-35.087653,149.0636595,yass-valley
"Full Circle Serenity",-34.84239609999999,148.9119187,yass-valley
"Comur House",-34.8421871,148.9117304,yass-valley
"Yass Valley Veterinary",-34.830597,148.907425,yass-valley
"Kaffeine 2582",-34.84425239999999,148.9125923,yass-valley
"Cafe Dolcetto",-34.8427674,148.9115206,yass-valley
"Eden Road Wines",-34.9829608,149.0259128,yass-valley
"Bargain Base",-34.8426198,148.912055,yass-valley
"Priceline Pharmacy Yass",-34.8418922,148.9112498,yass-valley
"Yass Valley Information Centre",-34.8467931,148.9150325,yass-valley
"Four Winds Vineyard",-34.994387,149.0586549,yass-valley
"IGA YASS",-34.8312633,148.907309,yass-valley
"Barney’s Cafe",-34.8137871,148.6407588,yass-valley
"Pacific Furniture & Bedding",-34.8459086,148.9152116,yass-valley
"Mill & Hide",-34.8427153,148.9114281,yass-valley
"Yass Valley Workwear",-34.8501048,148.9168235,yass-valley
"SMD Skin and Beauty Clinic",-34.84098,148.9107341,yass-valley
"Yazzbar",-34.8416828,148.9103638,yass-valley
"The Spotty Rose",-34.8413012,148.9110918,yass-valley
"Merchant Campbell",-34.8489632,148.9166444,yass-valley
"Yass Country Kitchen",-34.826995,148.909274,yass-valley
"Tootsie Gallery Cafe",-34.849438,148.917428,yass-valley
